Person,Role,Role2,Source
Theodore (Ted) Jacobsen,President of Jacobsen Construction Co. (builds many temples / meetinghouses),,https://www.deseretnews.com/article/865577967/Granddaughter-of-two-LDS-Church-presidents-turns-100.html
Florence Smith Jacobsen,General YW President,Church Curator,https://www.deseretnews.com/article/865577967/Granddaughter-of-two-LDS-Church-presidents-turns-100.html
Allan F. Packer,1st Quorum 70,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Charles W. Walton,Mission Pres 2009,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Clark B. Hinckley,Mission Pres 2009,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Dale G. Renlund,1st Quorum 70,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
David J. Bullock,Mission Pres 2008,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Gregory M. Saylin,Mission Pres 2009,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Michael Tally Ringwood,1st Quorum 70,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Miguel Tenorio,Mission Pres 2008,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Richard A. Hunter,Temple Pres 2008,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Boyd K. Packer,Quorum of 12,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Ray H. Wood,2nd Quorum 70,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Gordon B. Hinckley,President,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Merlin Lybbert,2nd Quorum 70,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Boyd K. Packer,Quorum of 12,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Keith K. Hilbig,1st Quorum 70,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Russell M. Nelson,Quorum of 12,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Octaviano Tenorio,1st Quorum 70,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Howard W. Hunter,President,,http://www.mormonmatters.org/nepotism-in-the-church-2009-update/
Spencer W. Kimball,President,,
Henry B. Eyring,1st Presidency,,
Henry Eyring,1st Presidency,,
Joseph Fielding Smith,President,,
Bruce R. McConkie,Quorum of 12,,
J. Golden Kimball,1st Quorum 70,,
Matthew S. Holland,President of Utah Valley University,,
Jeffrey R. Holland,Quorum of 12,,
W. Craig Zwick,1st Quorum 70,Owner of Zwick Construction (builds many temples / meetinghouses),https://www.lds.org/church/leader/w-craig-zwick?lang=eng
Quentin L. Cook,Quorum of 12,Marin General Hospital attorney that privatized and sold the public hospital to Sutter Health… and then became Sutter’s vice president,https://en.wikipedia.org/wiki/Quentin_L._Cook
